Channel              :,CH1,CH2
Frequency            :,60.00Hz,59.97Hz
Period               :,16.67ms,16.67ms
PK-PK                :,8.200V?,1.080V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,200.000000,-40.000000
2,200.000000,-40.000000
3,200.000000,-40.000000
4,160.000000,-40.000000
5,120.000000,0.000000
6,120.000000,0.000000
7,80.000000,0.000000
8,80.000000,0.000000
9,80.000000,0.000000
10,40.000000,0.000000
11,40.000000,0.000000
12,-40.000000,40.000000
13,-40.000000,0.000000
14,-40.000000,0.000000
15,-80.000000,0.000000
16,-120.000000,0.000000
17,-120.000000,40.000000
18,-160.000000,40.000000
19,-200.000000,40.000000
20,-200.000000,40.000000
21,-200.000000,40.000000
22,-240.000000,40.000000
23,-240.000000,80.000000
24,-280.000000,80.000000
25,-320.000000,40.000000
26,-320.000000,80.000000
27,-360.000000,80.000000
28,-400.000000,80.000000
29,-440.000000,80.000000
30,-440.000000,80.000000
31,-440.000000,80.000000
32,-480.000000,80.000000
33,-480.000000,80.000000
34,-520.000000,120.000000
35,-560.000000,80.000000
36,-560.000000,120.000000
37,-600.000000,80.000000
38,-600.000000,120.000000
39,-640.000000,160.000000
40,-640.000000,120.000000
41,-680.000000,120.000000
42,-680.000000,120.000000
43,-720.000000,120.000000
44,-760.000000,120.000000
45,-800.000000,160.000000
46,-800.000000,160.000000
47,-800.000000,120.000000
48,-840.000000,160.000000
49,-880.000000,160.000000
50,-880.000000,160.000000
51,-880.000000,160.000000
52,-920.000000,160.000000
53,-960.000000,160.000000
54,-1000.000000,160.000000
55,-1000.000000,160.000000
56,-1000.000000,160.000000
57,-1040.000000,160.000000
58,-1080.000000,200.000000
59,-1080.000000,200.000000
60,-1120.000000,200.000000
61,-1120.000000,200.000000
62,-1120.000000,160.000000
63,-1160.000000,200.000000
64,-1160.000000,200.000000
65,-1200.000000,240.000000
66,-1240.000000,200.000000
67,-1240.000000,200.000000
68,-1240.000000,200.000000
69,-1280.000000,200.000000
70,-1320.000000,240.000000
71,-1320.000000,240.000000
72,-1360.000000,240.000000
73,-1360.000000,240.000000
74,-1400.000000,240.000000
75,-1400.000000,240.000000
76,-1440.000000,240.000000
77,-1440.000000,240.000000
78,-1480.000000,240.000000
79,-1480.000000,240.000000
80,-1520.000000,240.000000
81,-1520.000000,280.000000
82,-1560.000000,240.000000
83,-1560.000000,240.000000
84,-1600.000000,240.000000
85,-1640.000000,280.000000
86,-1600.000000,240.000000
87,-1640.000000,280.000000
88,-1640.000000,280.000000
89,-1680.000000,280.000000
90,-1720.000000,280.000000
91,-1720.000000,280.000000
92,-1760.000000,280.000000
93,-1760.000000,280.000000
94,-1760.000000,320.000000
95,-1800.000000,280.000000
96,-1800.000000,280.000000
97,-1840.000000,320.000000
98,-1880.000000,320.000000
99,-1880.000000,320.000000
100,-1880.000000,320.000000
101,-1920.000000,320.000000
102,-1920.000000,320.000000
103,-1960.000000,320.000000
104,-1960.000000,320.000000
105,-1960.000000,320.000000
106,-2000.000000,320.000000
107,-2000.000000,320.000000
108,-2040.000000,320.000000
109,-2040.000000,360.000000
110,-2080.000000,360.000000
111,-2080.000000,360.000000
112,-2120.000000,320.000000
113,-2120.000000,360.000000
114,-2120.000000,320.000000
115,-2160.000000,360.000000
116,-2120.000000,360.000000
117,-2200.000000,360.000000
118,-2160.000000,360.000000
119,-2240.000000,360.000000
120,-2240.000000,360.000000
121,-2240.000000,360.000000
122,-2240.000000,360.000000
123,-2280.000000,360.000000
124,-2280.000000,360.000000
125,-2320.000000,360.000000
