Channel              :,CH1,CH2
Frequency            :,1.000kHz,1.000kHz
Period               :,1.000ms,1.000ms
PK-PK                :,5.880V,1.040V
Probe attenuation    :,1X,1X
Voltage per ADC value:,2.500000mV,2.500000mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-1520.000000,480.000000
2,-1520.000000,480.000000
3,-1560.000000,480.000000
4,-1520.000000,480.000000
5,-1520.000000,480.000000
6,-1520.000000,520.000000
7,-1520.000000,480.000000
8,-1520.000000,480.000000
9,-1520.000000,480.000000
10,-1520.000000,480.000000
11,-1520.000000,480.000000
12,-1520.000000,480.000000
13,-1520.000000,480.000000
14,-1480.000000,480.000000
15,-1480.000000,480.000000
16,-1480.000000,480.000000
17,-1480.000000,480.000000
18,-1520.000000,480.000000
19,-1480.000000,480.000000
20,-1560.000000,480.000000
21,-1560.000000,-480.000000
22,-1600.000000,-480.000000
23,-1600.000000,-520.000000
24,-1600.000000,-480.000000
25,-1600.000000,-520.000000
26,-1640.000000,-480.000000
27,-1600.000000,-480.000000
28,-1600.000000,-480.000000
29,-1520.000000,-520.000000
30,-1400.000000,-520.000000
31,-1200.000000,-480.000000
32,-1040.000000,-520.000000
33,-880.000000,-480.000000
34,-720.000000,-480.000000
35,-560.000000,-480.000000
36,-360.000000,-480.000000
37,-240.000000,-520.000000
38,-40.000000,-480.000000
39,120.000000,-480.000000
40,280.000000,-480.000000
41,440.000000,-520.000000
42,640.000000,-520.000000
43,800.000000,-480.000000
44,960.000000,-480.000000
45,1120.000000,-480.000000
46,1200.000000,-480.000000
47,1320.000000,-480.000000
48,1400.000000,-480.000000
49,1440.000000,-480.000000
50,1440.000000,-520.000000
51,1480.000000,-520.000000
52,1480.000000,-480.000000
53,1480.000000,-520.000000
54,1480.000000,-480.000000
55,1520.000000,-480.000000
56,1520.000000,-480.000000
57,1520.000000,-520.000000
58,1520.000000,-480.000000
59,1520.000000,-480.000000
60,1520.000000,-480.000000
61,1520.000000,-480.000000
62,1520.000000,-480.000000
63,1520.000000,-520.000000
64,1520.000000,-480.000000
65,1520.000000,-480.000000
66,1520.000000,-520.000000
67,1560.000000,-480.000000
68,1560.000000,-480.000000
69,1520.000000,-480.000000
70,1560.000000,-480.000000
71,1560.000000,-480.000000
72,1560.000000,-520.000000
73,1560.000000,-520.000000
74,1560.000000,-520.000000
75,1560.000000,-480.000000
76,1560.000000,-480.000000
77,1560.000000,-520.000000
78,1560.000000,-480.000000
79,1560.000000,-480.000000
80,1560.000000,-520.000000
81,1600.000000,-520.000000
82,1600.000000,-520.000000
83,1600.000000,-480.000000
84,1600.000000,-520.000000
85,1560.000000,-480.000000
86,1600.000000,-520.000000
87,1560.000000,-480.000000
88,1600.000000,-480.000000
89,1560.000000,-480.000000
90,1600.000000,-520.000000
91,1600.000000,-520.000000
92,1600.000000,-480.000000
93,1600.000000,-520.000000
94,1600.000000,-520.000000
95,1600.000000,-480.000000
96,1600.000000,-480.000000
97,1600.000000,-520.000000
98,1600.000000,-480.000000
99,1600.000000,-480.000000
100,1640.000000,-480.000000
101,1600.000000,-480.000000
102,1640.000000,-480.000000
103,1640.000000,-480.000000
104,1640.000000,-520.000000
105,1640.000000,-520.000000
106,1640.000000,-520.000000
107,1640.000000,-480.000000
108,1640.000000,-480.000000
109,1640.000000,-520.000000
110,1640.000000,-520.000000
111,1680.000000,-480.000000
112,1640.000000,-480.000000
113,1680.000000,-480.000000
114,1640.000000,-480.000000
115,1640.000000,-480.000000
116,1640.000000,-480.000000
117,1680.000000,-480.000000
118,1680.000000,-480.000000
119,1680.000000,-480.000000
120,1680.000000,-480.000000
121,1640.000000,-520.000000
122,1680.000000,-480.000000
123,1640.000000,-520.000000
124,1680.000000,-480.000000
125,1680.000000,-480.000000
126,1680.000000,-480.000000
127,1680.000000,-520.000000
128,1680.000000,-480.000000
129,1720.000000,-480.000000
130,1680.000000,-480.000000
131,1680.000000,-480.000000
132,1720.000000,-480.000000
133,1720.000000,-480.000000
134,1720.000000,-480.000000
135,1680.000000,-480.000000
136,1720.000000,-480.000000
137,1720.000000,-520.000000
138,1720.000000,-480.000000
139,1720.000000,-480.000000
140,1720.000000,-480.000000
141,1720.000000,-480.000000
142,1720.000000,-480.000000
143,1720.000000,-480.000000
144,1720.000000,-520.000000
145,1720.000000,-480.000000
146,1720.000000,-480.000000
147,1720.000000,-480.000000
148,1760.000000,-480.000000
149,1720.000000,-480.000000
150,1760.000000,-480.000000
151,1760.000000,-520.000000
152,1760.000000,-480.000000
153,1760.000000,-480.000000
154,1760.000000,-480.000000
155,1760.000000,-480.000000
156,1760.000000,-520.000000
157,1760.000000,-520.000000
158,1760.000000,-480.000000
159,1760.000000,-480.000000
160,1760.000000,-520.000000
161,1760.000000,-480.000000
162,1800.000000,-520.000000
163,1760.000000,-480.000000
164,1760.000000,-520.000000
165,1760.000000,-480.000000
166,1760.000000,-480.000000
167,1760.000000,-480.000000
168,1760.000000,-520.000000
169,1760.000000,-520.000000
170,1800.000000,-520.000000
171,1800.000000,-520.000000
172,1760.000000,-480.000000
173,1800.000000,-480.000000
174,1800.000000,-520.000000
175,1800.000000,-520.000000
176,1800.000000,-520.000000
177,1800.000000,-520.000000
178,1800.000000,-520.000000
179,1800.000000,-520.000000
180,1800.000000,-480.000000
181,1800.000000,-480.000000
182,1800.000000,-480.000000
183,1800.000000,-520.000000
184,1800.000000,-480.000000
185,1800.000000,-520.000000
186,1800.000000,-480.000000
187,1800.000000,-480.000000
188,1840.000000,-520.000000
189,1800.000000,-520.000000
190,1840.000000,-480.000000
191,1840.000000,-480.000000
192,1840.000000,-480.000000
193,1840.000000,-480.000000
194,1840.000000,-480.000000
195,1840.000000,-520.000000
196,1840.000000,-480.000000
197,1840.000000,-520.000000
198,1880.000000,-520.000000
199,1840.000000,-480.000000
200,1840.000000,-480.000000
201,1880.000000,-480.000000
202,1880.000000,-520.000000
203,1880.000000,-480.000000
204,1880.000000,-520.000000
205,1840.000000,-480.000000
206,1880.000000,-480.000000
207,1840.000000,-480.000000
208,1880.000000,-520.000000
209,1880.000000,-520.000000
210,1880.000000,-480.000000
211,1880.000000,-520.000000
212,1880.000000,-520.000000
213,1880.000000,-480.000000
214,1880.000000,-480.000000
215,1920.000000,-480.000000
216,1880.000000,-480.000000
217,1880.000000,-520.000000
218,1920.000000,-480.000000
219,1920.000000,-480.000000
220,1880.000000,-480.000000
221,1920.000000,-480.000000
222,1920.000000,-480.000000
223,1920.000000,-480.000000
224,1920.000000,-480.000000
225,1920.000000,-520.000000
226,1920.000000,-480.000000
227,1920.000000,-480.000000
228,1920.000000,-480.000000
229,1920.000000,-520.000000
230,1920.000000,-520.000000
231,1920.000000,-520.000000
232,1920.000000,-480.000000
233,1920.000000,-480.000000
234,1960.000000,-520.000000
235,1920.000000,-480.000000
236,1920.000000,-480.000000
237,1920.000000,-480.000000
